Id,Name,DayTrend30,Members
12780,Lassar teleport,+14.0%,true
3053,Lava battlestaff,+1.0%,true
11943,Lava dragon bones,+3.0%,true
11992,Lava scale,+12.0%,true
11994,Lava scale shard,+14.0%,true
11902,Leaf-bladed sword,+0.0%,true
3365,Lean snail,+2.0%,true
3371,Lean snail meat,+9.0%,true
11328,Leaping trout,+50.0%,true
1741,Leather,+6.0%,false
1129,Leather body,+33.0%,false
1061,Leather boots,+11.0%,false
1167,Leather cowl,+100.0%,false
1059,Leather gloves,+100.0%,false
19724,Left eye patch,+6.0%,true
2102,Lemon,+1.0%,true
2106,Lemon slices,+5.0%,true
19586,Light frame,+1.0%,true
10973,Light orb,+4.0%,true
225,Limpwurt root,+2.0%,false
4684,Linen,+27.0%,true
3396,Loar remains,+45.0%,true
379,Lobster,+6.0%,false
301,Lobster pot,+35.0%,false
9052,Locust meat,+11.0%,true
10159,Long kebbit bolts,+5.0%,true
10107,Long kebbit spike,+8.0%,true
839,Longbow,+42.0%,false
48,Longbow (u),+28.0%,true
987,Loop half of key,+22.0%,true
12642,Lumberyard teleport,+26.0%,true
9864,M. treasure chest,+15.0%,true
975,Machete,+1.0%,true
22201,Magic bird house,+15.0%,true
10025,Magic box,+4.0%,true
9848,Magic cape rack,+13.0%,true
11491,Magic essence mix(1),+4.0%,true
11489,Magic essence mix(2),+1.0%,true
12932,Magic fang,+2.0%,true
1513,Magic logs,+8.0%,true
859,Magic longbow,+0.0%,true
70,Magic longbow (u),+9.0%,true
3448,Magic pyre logs,+8.0%,true
5374,Magic sapling,+1.0%,true
5316,Magic seed,+1.0%,true
12786,Magic shortbow scroll,+11.0%,true
1389,Magic staff,+73.0%,false
8788,Magic stone,+0.0%,true
11252,Magpie impling jar,+3.0%,true
9861,Mahogany armour case,+15.0%,true
22195,Mahogany bird house,+14.0%,true
9845,Mahogany cape rack,+9.0%,true
9867,Mahogany fancy dress box,+15.0%,true
6332,Mahogany logs,+44.0%,true
9856,Mahogany magic wardrobe,+6.0%,true
8782,Mahogany plank,+0.0%,true
9851,Mahogany toy box,+14.0%,true
11931,Malediction shard 1,+1.0%,true
